"Gene","log2FoldChange","pvalue","padj","logP","status"
"TBX5",-2.129,5.655e-08,0.0004191,7.24756739073853,"Down"
"IFITM1",-1.687,3.735e-06,0.006809,5.42770939384858,"Down"
"EMILIN2",1.534,2.976e-06,0.006809,5.52636707312616,"Up"
"LAMA2",-1.425,2.39e-06,0.006809,5.62160209905186,"Down"
"CAV2",-1.052,3.213e-06,0.006809,5.49308927444848,"Down"
"TNN",-1.658,8.973e-06,0.01472,5.04706233224902,"Down"
"POU3F4",1.181,1.062e-05,0.01584,4.97387548325455,"Up"
"COL13A1",-1.647,1.394e-05,0.01592,4.85573722623801,"Down"
"IFITM3",-1.61,1.202e-05,0.01592,4.92009553233328,"Down"
"SHISA3",-1.477,1.31e-05,0.01592,4.88272870434424,"Down"
"LOC285954",1.05,1.456e-05,0.01592,4.83683862502298,"Up"
"VEPH1",1.137,2.211e-05,0.02267,4.65541125742129,"Up"
"ARHGAP29",-1.526,3.675e-05,0.03547,4.43474265657979,"Down"
"KIAA1755",-1.562,3.972e-05,0.0362,4.40099076017666,"Down"
"LAMC3",-1.563,4.29e-05,0.03704,4.36754270781528,"Down"
"ITM2A",-1.398,4.972e-05,0.04078,4.30346888003039,"Down"
"DTHD1",1.54,5.594e-05,0.04371,4.25227753796449,"Up"
"CEBPD",-1.202,7.859e-05,0.05606,4.10463271122664,"Down"
"DMBX1",-1.425,9.529e-05,0.06486,4.02095267305203,"Down"
"PAPLN",-1.253,9.883e-05,0.06486,4.00511120463509,"Down"
"ADM",-1.357,0.0001089,0.06872,3.96297212024422,"Down"
"COL2A1",-1.187,0.0001424,0.07794,3.84649001069916,"Down"
"HS3ST3A1",-1.004,0.0001388,0.07794,3.85761053388116,"Down"
"DYSF",-1.03,0.0001425,0.07794,3.84618513565547,"Down"
"PI16",1.495,0.0001297,0.07794,3.88706002391592,"Up"
"CDC42EP5",-1.355,0.0001581,0.08146,3.80106813006779,"Down"
"ZNF391",-1.024,0.0001913,0.09512,3.7182850299727,"Down"
